"","chamber","icpsr","state_abbrev","party_code","bioname","born","died","gen","nominate_dim1","nominate_dim2","wing","region","total_vote","iso_num","oppo_per","first_cong","last_cong","congress_num","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102"
"37","House",5839,"MN","Independent","LUNDEEN, Ernest",1878,"1940","missionary",0.217,0.976,"Right","Midwest",81,64,0.790123456790123,65,76,5,"0.714285714285714","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"38","Senate",5839,"MN","Independent","LUNDEEN, Ernest",1878,"1940","missionary",0.217,0.976,"Right","Midwest",81,64,0.790123456790123,65,76,5,"X","0.5","0.859649122807018","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"39","House",9956,"CA","Republican","WERDEL, Thomas Harold",1905,"1966","greatest",0.52,-0.186,"Right","West",19,15,0.789473684210526,81,82,2,"X","X","X","X","X","X","X","0.875","0.727272727272727","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"40","House",2347,"PA","Republican","DARROW, George Potter",1859,"1943","progressive",0.441,-0.505,"Center","North",33,26,0.787878787878788,64,76,12,"0.692307692307692","X","0.85","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"41","House",9527,"PA","Republican","TURPIN, Charles Murray",1878,"1946","missionary",0.144,-0.626,"Center","North",14,11,0.785714285714286,71,74,4,"0.785714285714286","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"42","House",10459,"MI","Republican","YOUNGBLOOD, Harold Francis",1907,"1983","greatest",0.464,-0.37,"Center","Midwest",14,11,0.785714285714286,80,80,1,"X","X","X","X","X","X","0.785714285714286","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"43","Senate",4922,"IN","Republican","JENNER, William Ezra",1908,"1985","greatest",0.572,-0.011,"Right","Midwest",139,109,0.784172661870504,78,85,7,"X","X","X","X","X","X","0.333333333333333","0.84","0.833333333333333","0.8","0.805555555555556","0.888888888888889","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"44","Senate",6991,"ND","Republican","NYE, Gerald Prentice",1892,"1971","lost",0.246,0.969,"Right","Midwest",143,112,0.783216783216783,69,78,10,"1","0.777777777777778","0.918032786885246","0.58974358974359","0.578947368421053","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"45","House",4218,"WI","Republican","HAWKS, Charles, Jr.",1899,"1960","lost",0.462,-0.228,"Center","Midwest",32,25,0.78125,76,76,1,"X","X","0.78125","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"46","House",5422,"KS","Republican","LAMBERTSON, William Purnell",1880,"1957","missionary",0.371,0.62,"Right","Midwest",100,78,0.78,71,78,8,"0.75","0.909090909090909","0.838709677419355","0.827586206896552","0.529411764705882","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"47","House",6689,"PA","Democrat","MORITZ, Theodore Leo",1892,"1982","lost",-0.452,-0.892,"Left","North",9,7,0.777777777777778,74,74,1,"0.777777777777778","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"48","House",7072,"WI","Democrat","O'MALLEY, Thomas David Patrick",1903,"1979","greatest",-0.2,-0.512,"Left","Midwest",18,14,0.777777777777778,73,75,3,"0.666666666666667","0.888888888888889","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"49","House",834,"WI","Republican","BOLLES, Stephen",1866,"1941","missionary",0.355,-0.481,"Center","Midwest",40,31,0.775,76,77,2,"X","X","0.78125","0.75","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"50","House",5829,"NE","Democrat","LUCKEY, Henry Carl",1868,"1956","missionary",-0.072,0.166,"Center","Midwest",22,17,0.772727272727273,74,75,2,"0.636363636363636","0.909090909090909","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"51","Senate",858,"ID","Republican","BORAH, William Edgar",1865,"1940","missionary",0.191,0.704,"Right","Rockies",44,34,0.772727272727273,60,76,17,"0.785714285714286","0.75","0.772727272727273","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"52","Senate",5944,"NV","Republican","MALONE, George Wilson",1890,"1961","lost",0.312,0.413,"Right","Rockies",158,122,0.772151898734177,80,85,6,"X","X","X","X","X","X","0.6","0.84","0.846153846153846","0.941176470588235","0.688888888888889","0.815789473684211","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"53","Senate",8476,"MN","Independent","SHIPSTEAD, Henrik",1881,"1960","missionary",0.21,0.978,"Right","Midwest",162,125,0.771604938271605,68,79,12,"1","0.666666666666667","0.80327868852459","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"54","Senate",8476,"MN","Republican","SHIPSTEAD, Henrik",1881,"1960","missionary",0.21,0.978,"Right","Midwest",162,125,0.771604938271605,68,79,12,"X","X","X","0.585365853658537","0.75","0.947368421052632","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"55","House",189,"MA","Republican","ANDREW, Abram Piatt, Jr.",1873,"1936","missionary",0.393,-0.271,"Center","North",13,10,0.769230769230769,67,74,8,"0.769230769230769","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"56","House",8607,"ME","Republican","SMITH, Clyde Harold",1876,"1940","missionary",0.187,-0.804,"Center","North",26,20,0.769230769230769,75,76,2,"X","0.777777777777778","0.764705882352941","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"57","House",5120,"IL","Republican","KEENEY, Russell Watson",1897,"1958","lost",0.383,0.673,"Right","Midwest",13,10,0.769230769230769,85,85,1,"X","X","X","X","X","X","X","X","X","X","X","0.769230769230769","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"58","House",8721,"NY","Republican","SNELL, Bertrand Hollis",1870,"1958","missionary",0.512,-0.196,"Right","North",21,16,0.761904761904762,64,75,12,"0.666666666666667","0.888888888888889","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"59","House",7864,"PA","Republican","RICH, Robert Fleming",1883,"1968","lost",0.664,0.295,"Right","North",137,104,0.759124087591241,71,81,10,"0.916666666666667","1","0.821428571428571","0.578947368421053","X","0.695652173913043","0.857142857142857","0.818181818181818","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"60","House",2770,"MS","Democrat","DUNN, Aubert Culberson",1896,"1987","lost",-0.051,0.999,"Right","South",4,3,0.75,74,74,1,"0.75","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"61","House",7350,"NJ","Republican","PERKINS, Randolph",1871,"1936","missionary",0.518,-0.127,"Right","North",8,6,0.75,67,74,8,"0.75","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"62","House",9311,"NY","Republican","THOMAS, William David",1880,"1936","missionary",0.464,0.011,"Right","North",4,3,0.75,73,74,2,"0.75","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"63","House",836,"OH","Republican","BOLTON, Chester Castle",1882,"1939","missionary",0.469,-0.851,"Center","Midwest",20,15,0.75,71,76,5,"0.666666666666667","X","0.818181818181818","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"64","House",3243,"PA","Republican","FOCHT, Benjamin Kurtz",1863,"1937","missionary",0.363,-0.025,"Center","North",20,15,0.75,60,75,10,"0.733333333333333","0.8","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"65","Senate",8254,"MN","Republican","SCHALL, Thomas David",1878,"1935","missionary",0.321,0.595,"Right","Midwest",12,9,0.75,64,74,11,"0.75","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"66","Senate",673,"TN","Democrat","BERRY, George Leonard",1882,"1948","missionary",0.037,0.999,"Right","South",4,3,0.75,75,75,1,"X","0.75","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"67","House",10330,"ID","Republican","WOOD, John Travers",1878,"1954","missionary",0.617,0.284,"Right","Rockies",12,9,0.75,82,82,1,"X","X","X","X","X","X","X","X","0.75","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"68","House",10145,"DE","Republican","WILLIAMS, George Short",1877,"1961","missionary",0.542,-0.201,"Right","South",31,23,0.741935483870968,76,76,1,"X","X","0.741935483870968","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"69","House",85,"MN","Republican","ALEXANDER, John Grant",1893,"1971","lost",0.144,-0.437,"Center","Midwest",27,20,0.740740740740741,76,76,1,"X","X","0.740740740740741","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"70","House",8269,"WI","Independent","SCHNEIDER, George John",1877,"1939","missionary",0.116,0.687,"Right","Midwest",23,17,0.739130434782609,68,75,7,"0.5","1","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"71","House",8619,"OH","Republican","SMITH, Frederick Cleveland",1884,"1956","lost",0.92,-0.085,"Right","Midwest",134,99,0.738805970149254,76,81,6,"X","X","0.818181818181818","0.55","0.666666666666667","0.826086956521739","0.928571428571429","1","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"72","House",7915,"RI","Republican","RISK, Charles Francis",1897,"1943","lost",0.11,-0.854,"Center","North",19,14,0.736842105263158,74,76,2,"0.5","X","0.764705882352941","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"73","Senate",4962,"CA","Republican","JOHNSON, Hiram Warren",1866,"1945","missionary",0.294,0.714,"Right","West",142,104,0.732394366197183,65,79,15,"0.470588235294118","0.285714285714286","0.852459016393443","0.641025641025641","0.9","1","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"74","House",14290,"TX","Republican","PAUL, Ronald Ernest",1935,"X","silent",0.863,-0.505,"Right","Southwest",394,287,0.728426395939086,94,112,12,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.733333333333333","X","0.738255033557047","0.783018867924528","0.660550458715596","X","X","X","X"
"75","Senate",6954,"SD","Republican","NORBECK, Peter",1870,"1936","missionary",0.281,0.852,"Right","Midwest",11,8,0.727272727272727,67,74,8,"0.727272727272727","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"76","House",9457,"MI","Democrat","TRANSUE, Andrew Jackson",1903,"1995","greatest",-0.219,0.082,"Center","Midwest",11,8,0.727272727272727,75,75,1,"X","0.727272727272727","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"77","House",6005,"OH","Republican","MARSHALL, Lycurgus Luther",1888,"1958","lost",0.318,-0.564,"Center","Midwest",33,24,0.727272727272727,76,76,1,"X","X","0.727272727272727","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"78","House",10013,"CA","Democrat","WHITE, Cecil Fielding",1900,"1992","lost",-0.189,-0.005,"Left","West",11,8,0.727272727272727,81,81,1,"X","X","X","X","X","X","X","0.727272727272727","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"79","House",1748,"MI","Republican","CLARDY, Kit Francis",1892,"1961","lost",0.645,0.322,"Right","Midwest",11,8,0.727272727272727,83,83,1,"X","X","X","X","X","X","X","X","X","0.727272727272727","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"80","House",10549,"SC","Democrat","RILEY, Corinne Boyd",1893,"1979","lost",-0.046,0.999,"Right","South",11,8,0.727272727272727,87,87,1,"X","X","X","X","X","X","X","X","X","X","X","X","X","0.727272727272727","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"81","House",8340,"OH","Republican","SECCOMBE, James",1893,"1970","lost",0.328,-0.686,"Center","Midwest",29,21,0.724137931034483,76,76,1,"X","X","0.724137931034483","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"82","Senate",1330,"SD","Republican","BUSHFIELD, Harlan John",1882,"1948","missionary",0.485,0.465,"Right","Midwest",47,34,0.723404255319149,78,80,3,"X","X","X","X","0.666666666666667","0.866666666666667","0.642857142857143","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"83","House",8283,"OK","Republican","SCHWABE, George Blaine",1886,"1952","lost",0.578,0.326,"Right","Southwest",47,34,0.723404255319149,79,82,3,"X","X","X","X","X","0.739130434782609","0.75","X","0.625","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"84","House",7238,"KS","Democrat","PATTERSON, Edward White",1895,"1940","lost",-0.08,0.162,"Center","Midwest",25,18,0.72,74,75,2,"0.6","0.9","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"85","House",8086,"OH","Republican","ROUTZOHN, Harry Nelson",1881,"1953","missionary",0.324,-0.577,"Center","Midwest",32,23,0.71875,76,76,1,"X","X","0.71875","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"86","Senate",10811,"NM","Republican","MECHEM, Edwin Leard",1912,"2002","greatest",0.585,-0.21,"Right","Southwest",64,46,0.71875,88,88,1,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.71875","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"87","House",1486,"WI","Democrat","CANNON, Raymond Joseph",1894,"1951","lost",-0.266,-0.67,"Left","Midwest",14,10,0.714285714285714,73,75,3,"0.5","0.875","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"88","House",4422,"OK","Democrat","HILL, Robert Potter",1874,"1937","missionary",-0.234,0.446,"Center","Southwest",7,5,0.714285714285714,63,75,2,"X","0.714285714285714","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"89","Senate",9439,"DE","Republican","TOWNSEND, John Gillis, Jr.",1871,"1964","missionary",0.491,-0.311,"Center","South",73,52,0.712328767123288,71,76,6,"0.642857142857143","0.5","0.764705882352941","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"90","Senate",10820,"WY","Republican","SIMPSON, Milward Lee",1897,"1993","lost",0.77,-0.562,"Right","Rockies",127,90,0.708661417322835,88,89,2,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.789473684210526","0.642857142857143","X","X","X","X","X","X","X","X","X","X","X","X","X"
"91","House",4911,"IL","Republican","JENISON, Edward Halsey",1907,"1996","greatest",0.526,-0.272,"Right","Midwest",41,29,0.707317073170732,80,82,3,"X","X","X","X","X","X","0.6875","0.769230769230769","0.666666666666667","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"92","Senate",9998,"NE","Republican","WHERRY, Kenneth Spicer",1892,"1951","lost",0.544,0.221,"Right","Midwest",92,65,0.706521739130435,78,82,5,"X","X","X","X","0.705882352941177","0.944444444444444","0.5","0.714285714285714","0.666666666666667","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"93","House",13000,"SD","Democrat","ABOUREZK, James George",1931,"X","silent",-0.743,0.423,"Left","Midwest",293,207,0.706484641638225,92,95,4,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.592592592592593","X","X","X","X","X","X","X","X","X","X"
"94","Senate",13000,"SD","Democrat","ABOUREZK, James George",1931,"X","silent",-0.743,0.423,"Left","Midwest",293,207,0.706484641638225,92,95,4,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","0.754237288135593","0.666666666666667","0.782608695652174","X","X","X","X","X","X","X"
"95","House",5352,"MN","Republican","KNUTSON, Harold",1880,"1953","missionary",0.415,0.396,"Right","Midwest",136,96,0.705882352941177,65,80,16,"0.833333333333333","0.9","0.8","0.515151515151515","0.529411764705882","0.727272727272727","0.916666666666667","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
